x,cdf(x),ccdf(x)
-171.5,4.215348107348101788019836040257006592786539539567049530888417155712425280095325643345612677837047010686297422138202962922723511345626035635167048235828e-2920896,1
-171,2.362462647473607699967055246963914452388650260770968517636160416462501161391846154147612930025457393465643843541016266009665277036427269295151568564572e-2895423,1
-170.5,3.919125899691592383802535936751744071907543299873148182123555396558024836447704115747413817535916715115339501649019231718897227933364225950145308833339e-2870099,1
-170,5.231193117577475052196511512476033985302893584607212794069640815377790154278108713711905032276564192104692166023795922703708807447840083732193385439573e-2844923,1
-169.5,1.527193542382559646467713476300055968864139671370216704385494050429009541844679999994677530243577972603884477419716716029656621022533637536651748436062e-2819894,1
-169,2.650719106240589031007648419911281301556263352500854050635692860229726687350972770986271843410962107815459314639231541458078723624599142260781698870032e-2795013,1
-168.5,7.435396913953045809055484821290697788682113853990395082557031845983749387298937378646202724573838739477921268878168241352540057351284355398633111553051e-2770279,1
-168,9.162414604000575206159129401766297202302203340534615742172215446052367869043744157491338036388789666979787126367130862962814840689906470995823087629764e-2745691,1
-167.5,1.348265972158209848437596821116628161048491189408108555610254953947747597783973662472274990325897307854524124483829170686434116486865913169390108125626e-2721248,1
-167,6.440143952095770683651106409881676151042930757762351529031531760197187825674424071474331640671836235420679842463583375357386551394832162033148247748027e-2696952,1
-166.5,2.714341332870947363901853284736462892202857305146653763889514463437225163379349133035488106976027617843408968531069198435485818944115964408411808451537e-2672800,1
-166,2.743953491261669445113447468473852544149750503760556185859366378398705930804587534452053067484501484141601120136601818981248749204317259659556009382445e-2648793,1
-165.5,1.808535134832357062059364978232167911666057009174743735556197220120646550371775614063575110026214960394342973095974628818231409326549763147797218422369e-2624930,1
-165,2.112562617839238355875288389347256981015426908464186549855602904707675098622613975442276699324079216039583811708149465536965825827778942833015290825053e-2601211,1
-164.5,1.188828436764784420881761792920248714357183332396621119964680900203481779701365282441314282455255383176534575881836175266069869301104510992674036408875e-2577635,1
-164,8.760930828706274798368845604849549375566662032067777589082277748034433534838119277624935122319015498064870438814837201029541040180640122639118908307812e-2554203,1
-163.5,2.298250212280886976479689681891100846335671946410439410779658858213590562010914553182372114930251416947105664212648917386212510245576760906992834934423e-2530912,1
-163,5.833844868578944741196056668362525139674562344821189629037636307628600822072892489524003477930250675572326690874758784896707403718437331157836642626504e-2507764,1
-162.5,3.895089785872473393374713782794496794308158209783253266019633401806911432390162380336767251352714723356380181214537270974511184499861165346225480573627e-2484757,1
-162,1.859429080214900469959659049338629503847148490562852713463900016198358657493403046725883844821594727242561478338034706375600437728998480941113076376926e-2461891,1
-161.5,1.725185635616455320913887235009189700703883421965935627246195269130841356824007229211679679956795383732293945112455949394901926282403861777425037323101e-2439166,1
-161,8.456304978293138329655696879785342521226703106624748379836193515966096111814878901101777273478000882581438387843702876720197313662526411476947913078076e-2416582,1
-160.5,5.952625379853539831008698899345204129038879541738324266934084023830202948842709581944756201451300886071300600278039630409340368090781888548528166331199e-2394137,1
-160,1.635739334071100257819726154950003772556990555421750135144072604590981172516742004170642911172046614853227698659344185410239810652621911939656827446512e-2371831,1
-159.5,4.769708030944652026374839454018110898959753222667060772359292488999682894943879803144648922957197662412025600089020039111939640414226915466316502694392e-2349665,1
-159,4.011771308439875039246725525177592863211277979249532553418726029239030097536185033846217968601526373378060629923682693862807451850997450423992700633064e-2327637,1
-158.5,2.645706946387221062182398329960380848161654986957946766792914689051289962508213042575717468970774320669897370001072940880940298361864049207663985219507e-2305747,1
-158,3.718801748911197659368617612884219348033459377460539331951004275250015645901382707272897630666472018403281947418732893094016388459727820727153142072684e-2283995,1
-157.5,3.028409207242811213184887506641315043245531244183780350204775282212195743733548541375347156288135812839913056388782456952225991164717653123315288759623e-2262380,1
-157,3.883925180018322293378625910602859442150535128673367324905965746934229620574452423354727103251911181022036342026188491208773272056387633605688124990164e-2240902,1
-156.5,2.132389040669043292358496418791067507170319510084001234889443798823226858173108736062613509564228724140160003747444754742769624022251038321428519805938e-2219560,1
-156,1.362372417524772285110683900222680251043435993451652031726542768326465617835863729720343163673641456377709280589442189424869166374416949653273504124319e-2198354,1
-155.5,2.753300294794997637650182326270015804348934024239643709377187512891021519661565632500141977646278263046435812927230678484631172620283477570864127820572e-2177284,1
-155,4.784473831451314571619400621990330079254706067700139634969317993026650569323997289022928600451314207824314909630187080945892025766286161804742137198615e-2156349,1
-154.5,1.943265653174042999196022973667007428988552555774076579979510337719897693743912922316788992704175970434400290855387614632867133081995974701567063229049e-2135548,1
-154,5.014666786888862582471458742038494584900781638004863579286508156144650061025595628822958708231801274027823780713000170709427441812959422955021810264329e-2114882,1
-153.5,2.234901706647085136769401906003232584386097018298755542133018095391716782583803851042127088233460190614778726348558178097573563638644939774819833165478e-2094349,1
-153,4.67601334054227388642593240968727379094244611243477171244962780205982691854655656351978536410862198200714289155645922613323095996687995197360776797307e-2073950,1
-152.5,1.248500011528814572422993647740789584801531064086571798340851038175018861541185835764532620034889690968925023036348683896418992134187303006692239168897e-2053683,1
-152,1.156355531696193990664815008759587522593384147875159659920193706451835813348967924500616420511228104005896327398763403942369504000232640510459709317826e-2033549,1
-151.5,1.009900911832796259477398670148667806462929179836336722244110599359952393551531910994715086137772737817085363731686572795946228310145262796218397215364e-2013547,1
-151,2.260711925834389053041111557058187281272177994309700915981515117715780600819883094174881783386305258202857010671995117634197292382938491813210668650479e-1993677,1
-150.5,3.526024245716935948539757989552183268093381195772449492468341922244779848810106836988123517772095945569530170762272646024735870811045063580612749582538e-1973938,1
-150,1.041582082830220773990619859312143958399106856901433907584341491435985052401107877373443785174529580660757688995507599596393821765178326987769541408999e-1954329,1
-149.5,1.584033544461478567780518140423944007656503361771644018639752800494492777711737165249182533678264822229764929736277857716225795563892480828978090438675e-1934851,1
-149,3.371261536043696016894701983784148656396214939587875260743999350983715920833370773979004213904942072774527040966085801787183498609604245699672140671079e-1915503,1
-148.5,2.729431789792974914918044134243824897430476396279331109495470411028690726833421594640966631174886146486905305056945685255945999991253564023849414679486e-1896284,1
-148,2.285063669060384026848251717574363209220270621458513529641920415195464348928426392688285396428210834071963367258738758184849869481377180905191130979337e-1877194,1
